Rank,Όνομα RaceNet,Όνομα Ομάδος,Αυτοκίνητο,Race,PS,Race,PS,Race,PS,Race,PS,Race,PS,Race,PS,Race,PS,Race,PS,Race,PS,Race,PS,Συνολική βαθμολογία
53,DimitrisAmaxo22,DNF Maybe Rally Team,Hyundai i20 N Rally1 (2023),,,,,,,,,,,,,,,,,,,,,0
54,Fip87,DNF Maybe Rally Team,Hyundai i20 N Rally1 (2023),,,,,,,,,,,,,,,,,,,,,0
55,K_Karathanassis,DNF Maybe Rally Team,Hyundai i20 N Rally1 (2023),,,,,,,,,,,,,,,,,,,,,0
56,BILL96GR,COSMOS 1,Toyota GR Yaris Rally1 (2023),,,,,,,,,,,,,,,,,,,,,0
57,ParisChronakis,COSMOS 1,Toyota GR Yaris Rally1 (2023),,,DNS,,,,,,,,,,,,,,,,,,0
58,Tsams333,COSMOS 1,Toyota GR Yaris Rally1 (2023),,,,,,,,,,,,,,,,,,,,,0
59,XalkiasRacing,CK Sports Corner Rally Team 2,Toyota GR Yaris Rally1 (2023),,,,,,,,,,,,,,,,,,,,,0
60,UnlimitedTorque2,CK Sports Corner Rally Team 2,Toyota GR Yaris Rally1 (2023),,,,,,,,,,,,,,,,,,,,,0
61,CntG3tEnough,AMP Motorsport,Hyundai i20 N Rally1 (2023),,,,,,,,,,,,,,,,,,,,,0
62,Loucas955,AMP Motorsport,Hyundai i20 N Rally1 (2023),,,,,,,,,,,,,,,,,,,,,0
63,DmsRacing,Married Motorsport,Toyota GR Yaris Rally1 (2023),,,,,,,,,,,,,,,,,,,,,0
64,TNGKLRSN1,Married Motorsport,Toyota GR Yaris Rally1 (2023),,,DNS,,,,,,,,,,,,,,,,,,0
65,iraklischaitas,Married Motorsport,Toyota GR Yaris Rally1 (2023),DNS,,DNS,,,,,,,,,,,,,,,,,,0
66,bebinio12,Slow Rally Team,Toyota GR Yaris Rally1 (2023),,,DNS,,,,,,,,,,,,,,,,,,0
67,konstantinidis-I,Slow Rally Team,Toyota GR Yaris Rally1 (2023),,,DNS,,,,,,,,,,,,,,,,,,0
68,orakoss555,Slow Rally Team,Toyota GR Yaris Rally1 (2023),,,DNS,,,,,,,,,,,,,,,,,,0
